"avatarThumbnail","cid","createTime","createTimeISO","detailedMentions/0/nickName","detailedMentions/0/profileUrl","detailedMentions/0/secUid","detailedMentions/0/userId","detailedMentions/1/nickName","detailedMentions/1/profileUrl","detailedMentions/1/secUid","detailedMentions/1/userId","detailedMentions/2/nickName","detailedMentions/2/profileUrl","detailedMentions/2/secUid","detailedMentions/2/userId","detailedMentions/3/nickName","detailedMentions/3/profileUrl","detailedMentions/3/secUid","detailedMentions/3/userId","detailedMentions/4/nickName","detailedMentions/4/profileUrl","detailedMentions/4/secUid","detailedMentions/4/userId","detailedMentions/5/nickName","detailedMentions/5/profileUrl","detailedMentions/5/secUid","detailedMentions/5/userId","detailedMentions/6/nickName","detailedMentions/6/profileUrl","detailedMentions/6/secUid","detailedMentions/6/userId","diggCount","input","likedByAuthor","mentions/0","mentions/1","mentions/2","mentions/3","mentions/4","mentions/5","mentions/6","pinnedByAuthor","repliesToId","replyCommentTotal","submittedVideoUrl","text","uid","uniqueId","videoWebUrl"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/62b21790bd36309080adbf5eee46659e~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=f5f9255f&x-expires=1762747200&x-signature=OFbexJmMWJPfcaN8hEw1jBvY6DU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7561065032910947080","1760447646","2025-10-14T13:14:06.000Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2199","https://www.tiktok.com/@miss_nhieuchuyen/video/7560974353207201046","false",,,,,,,,"false",,"37","https://www.tiktok.com/@miss_nhieuchuyen/video/7560974353207201046","nhìn thấy tội nghiệp thiệt xự, một thân một mình đại diện Nước nhà mà còn bị bash 🙏 cố lên bé ơi 🔥","6762581319727268866","hang_kang","https://www.tiktok.com/@miss_nhieuchuyen/video/7560974353207201046"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/25c5b1bebcacb3fdf88bd6334b0f0349~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=7dad224f&x-expires=1762747200&x-signature=VRr8I3vVyKYqKja%2BTq8NcsmR51w%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7561521508075488021","1760553934","2025-10-15T18:45:34.000Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"931","https://www.tiktok.com/@miss_nhieuchuyen/video/7560974353207201046","false",,,,,,,,"false",,"11","https://www.tiktok.com/@miss_nhieuchuyen/video/7560974353207201046","t là nam, nhưng t thấy cách ăn này có thể tránh bị trôi son, với lại ăn kiểu hồn nhiên dễ thương, có gì đâu mà mn to6 dữ vậy. rất mong bé này làm nên chuyện. ❤","6761825741342819329","lioneldang","https://www.tiktok.com/@miss_nhieuchuyen/video/7560974353207201046"
"https://p16-common-sign.tiktokcdn-us.com/musically-maliva-obj/1594805258216454~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=0e7fc3b5&x-expires=1762747200&x-signature=s2X53UjM3Ao5FrK0z1MiFPuJo0s%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7561011343513355016","1760435148","2025-10-14T09:45:48.000Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2054","https://www.tiktok.com/@miss_nhieuchuyen/video/7560974353207201046","false",,,,,,,,"false",,"144","https://www.tiktok.com/@miss_nhieuchuyen/video/7560974353207201046","Nhìn giống bị sứt môi á","7306373385226339336","babinh076","https://www.tiktok.com/@miss_nhieuchuyen/video/7560974353207201046"
"https://p16-common-sign.tiktokcdn-us.com/musically-maliva-obj/1594805258216454~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=0e7fc3b5&x-expires=1762747200&x-signature=s2X53UjM3Ao5FrK0z1MiFPuJo0s%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7561234413339001607","1760487097","2025-10-15T00:11:37.000Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"287","https://www.tiktok.com/@miss_nhieuchuyen/video/7560974353207201046","true",,,,,,,,"false",,"6","https://www.tiktok.com/@miss_nhieuchuyen/video/7560974353207201046","Ai thấy đẹp chứ tôi là tôi chịu , nhan sắc ở mức trung bình chứ chưa phải khá. Đẹp thì lại còn quá xa","7251088756899611653","jaylee1189","https://www.tiktok.com/@miss_nhieuchuyen/video/7560974353207201046"
"https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/649354edd72c9e93048061526a82fade~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=ebda22a2&x-expires=1762747200&x-signature=8AV%2BQP7IYwTjN49pHoUFyqnf9QM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7561363882086843158","1760517233","2025-10-15T08:33:53.000Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"84","https://www.tiktok.com/@miss_nhieuchuyen/video/7560974353207201046","false",,,,,,,,"false","7561234413339001607",,"https://www.tiktok.com/@miss_nhieuchuyen/video/7560974353207201046","Chuẩn luôn b, học vấn cũng k có haiz","7150952948729447430","miss_nhieuchuyen","https://www.tiktok.com/@miss_nhieuchuyen/video/7560974353207201046"
"https://p16-common-sign.tiktokcdn-us.com/tos-useast2a-avt-0068-giso/7183939178957275163~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=db3b35ec&x-expires=1762747200&x-signature=kesfNR0bMRdB7lxBQZP1U9zqhDQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7564286456287658773","1761197697","2025-10-23T05:34:57.000Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"220","https://www.tiktok.com/@miss_nhieuchuyen/video/7560974353207201046","false",,,,,,,,"false",,"29","https://www.tiktok.com/@miss_nhieuchuyen/video/7560974353207201046","6 đau 6 đớn chắc giám khảo bị né","7147234471723680770","dungl834","https://www.tiktok.com/@miss_nhieuchuyen/video/7560974353207201046"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/e9cb643c772569e7e5c4b0d7ddc90829~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=72523f49&x-expires=1762747200&x-signature=SAQjOsQQA%2FpyBaI1b3wbfwoLS88%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7561087839107302151","1760452952","2025-10-14T14:42:32.000Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"533","https://www.tiktok.com/@miss_nhieuchuyen/video/7560974353207201046","false",,,,,,,,"false",,"49","https://www.tiktok.com/@miss_nhieuchuyen/video/7560974353207201046","Ôi trời tiêu chuẩn lựa hoa hậu của ban giám khảo thật là độc lạ","6892737310169924610","thanhphuong4900","https://www.tiktok.com/@miss_nhieuchuyen/video/7560974353207201046"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/0d9029dbbb19d24362306c620fdab874~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=49d2b1c6&x-expires=1762747200&x-signature=hgDQLri5MWcgfYYti4DaLDOq%2FuE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7561057580103435015","1760445914","2025-10-14T12:45:14.000Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"763","https://www.tiktok.com/@miss_nhieuchuyen/video/7560974353207201046","false",,,,,,,,"false",,"14","https://www.tiktok.com/@miss_nhieuchuyen/video/7560974353207201046","sao tui thấy bé dễ thương ta","6824101275572896769","linhpham..69","https://www.tiktok.com/@miss_nhieuchuyen/video/7560974353207201046"
"https://p16-common-sign.tiktokcdn-us.com/tos-useast2a-avt-0068-aiso/df9629bead22fda86d90ef13da23b497~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=e7120d12&x-expires=1762747200&x-signature=ukStRB0EdcLuC81e%2B%2B%2BlzzrAEG8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7561051717590254343","1760444545","2025-10-14T12:22:25.000Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"169","https://www.tiktok.com/@miss_nhieuchuyen/video/7560974353207201046","false",,,,,,,,"false",,"9","https://www.tiktok.com/@miss_nhieuchuyen/video/7560974353207201046","ủa dễ thương quá dị, đứa nào ĐỨA NÀO CHÊ THÌ TỰ ĐĂNG CLIP MÌNH ĂN CHO NGƯỜI TA COI CÓ ĐẸP KHÔNG","6953548142597358593","yuecrownyumi","https://www.tiktok.com/@miss_nhieuchuyen/video/7560974353207201046"
"https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/6fd56386d9d5f42f475a2a2b9f163e43~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=394f54ff&x-expires=1762747200&x-signature=25kFOgL0BSxi4JvOFEpcXs3sJn8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7561073022263247633","1760449510","2025-10-14T13:45:10.000Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"239","https://www.tiktok.com/@miss_nhieuchuyen/video/7560974353207201046","false",,,,,,,,"false",,"32","https://www.tiktok.com/@miss_nhieuchuyen/video/7560974353207201046","t thấy bả đẹp r mấy má, mấy má đòi giống thần tiên hả🥰","7530495640963482645","y_la_may_bi_mat_day","https://www.tiktok.com/@miss_nhieuchuyen/video/7560974353207201046"
