"avatarThumbnail","cid","createTime","createTimeISO","detailedMentions/0/nickName","detailedMentions/0/profileUrl","detailedMentions/0/secUid","detailedMentions/0/userId","detailedMentions/1/nickName","detailedMentions/1/profileUrl","detailedMentions/1/secUid","detailedMentions/1/userId","detailedMentions/2/nickName","detailedMentions/2/profileUrl","detailedMentions/2/secUid","detailedMentions/2/userId","diggCount","input","likedByAuthor","mentions/0","mentions/1","mentions/2","pinnedByAuthor","repliesToId","replyCommentTotal","submittedVideoUrl","text","uid","uniqueId","videoWebUrl"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/5d7d66ffeee1ee445b2cdadac5f36312~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=d69bead2&x-expires=1762750800&x-signature=2vPQlQSdwdqr4zm69ojmlQjZkT0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7557911473813881621","1759713407","2025-10-06T01:16:47.000Z",,,,,,,,,,,,,"4576","https://www.tiktok.com/@duocsihiv/video/7557610996651625746?q=hivs&t=1760334944243","true",,,,"false",,"140","https://www.tiktok.com/@duocsihiv/video/7557610996651625746?q=hivs&t=1760334944243","Thề nghe quả giọng khan đặc trưng luôn rồi. Mn nào đã từng tiếp xúc với những giọng ntn rồi thì biết sao đặc trưng rồi đấy 😂😂😂","6600960365444628481","dieha.8680","https://www.tiktok.com/@duocsihiv/video/7557610996651625746"
"https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/e1dcb63f66a20afc492e15dfa95ad7f6~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=355acc14&x-expires=1762750800&x-signature=Efnjxhx4hAHH8wKJVR483%2FtO8wo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7558132070058640146","1759764761","2025-10-06T15:32:41.000Z",,,,,,,,,,,,,"124","https://www.tiktok.com/@duocsihiv/video/7557610996651625746?q=hivs&t=1760334944243","false",,,,"false","7557911473813881621",,"https://www.tiktok.com/@duocsihiv/video/7557610996651625746?q=hivs&t=1760334944243","Dạ là sao ạ","7514640075834246152","duocsihiv","https://www.tiktok.com/@duocsihiv/video/7557610996651625746"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/8e3e77aa827950b90d16b00c08838f2c~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=c515cc66&x-expires=1762750800&x-signature=uvkJ5L%2FE6VHucn2BLfWEga%2Bwb1s%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7557763126730720007","1759678863","2025-10-05T15:41:03.000Z",,,,,,,,,,,,,"360","https://www.tiktok.com/@duocsihiv/video/7557610996651625746?q=hivs&t=1760334944243","true",,,,"false",,"22","https://www.tiktok.com/@duocsihiv/video/7557610996651625746?q=hivs&t=1760334944243","rồi xong côi như bỏ 1 đời ng bệnh giang mai nó còn hơn hiv này nó sì mũ thì ối giời ơi","7330243747463529490","hnam.nolove","https://www.tiktok.com/@duocsihiv/video/7557610996651625746"
"https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/e1dcb63f66a20afc492e15dfa95ad7f6~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=355acc14&x-expires=1762750800&x-signature=Efnjxhx4hAHH8wKJVR483%2FtO8wo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7558132491229790983","1759764858","2025-10-06T15:34:18.000Z",,,,,,,,,,,,,"75","https://www.tiktok.com/@duocsihiv/video/7557610996651625746?q=hivs&t=1760334944243","true",,,,"false","7557763126730720007",,"https://www.tiktok.com/@duocsihiv/video/7557610996651625746?q=hivs&t=1760334944243","Gm điều trị là khỏi ạ","7514640075834246152","duocsihiv","https://www.tiktok.com/@duocsihiv/video/7557610996651625746"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/9660cc08ca9102908608d712b49be117~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=aef670f7&x-expires=1762750800&x-signature=uW2nOJzJIxAFUktV9F8EEODNgAg%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7558137870202094352","1759766118","2025-10-06T15:55:18.000Z",,,,,,,,,,,,,"45","https://www.tiktok.com/@duocsihiv/video/7557610996651625746?q=hivs&t=1760334944243","false",,,,"false",,"8","https://www.tiktok.com/@duocsihiv/video/7557610996651625746?q=hivs&t=1760334944243","em này 96 k phải 2k6 đâu, bụng vậy đã chửa đẻ rồi","6730438469103649793","bongbang1618","https://www.tiktok.com/@duocsihiv/video/7557610996651625746"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/a8ba2d67d0fb5b3e939e3c46815d52a5~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=f1d28cd3&x-expires=1762750800&x-signature=Ck%2BM4wcedqVOF61Zm1GoB8dzj%2Bc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7557706741654209298","1759665734","2025-10-05T12:02:14.000Z",,,,,,,,,,,,,"697","https://www.tiktok.com/@duocsihiv/video/7557610996651625746?q=hivs&t=1760334944243","true",,,,"false",,"29","https://www.tiktok.com/@duocsihiv/video/7557610996651625746?q=hivs&t=1760334944243","Không hiểu tại sao nhà nước ko đưa các xét nghiệm này vào xét nghiệm bắt buộc ở các viện, hỗ trọ phát hiện sớm rất tốt","7514212414847927317","conglycuadanden","https://www.tiktok.com/@duocsihiv/video/7557610996651625746"
"https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/e1dcb63f66a20afc492e15dfa95ad7f6~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=355acc14&x-expires=1762750800&x-signature=Efnjxhx4hAHH8wKJVR483%2FtO8wo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7558132591502017298","1759764880","2025-10-06T15:34:40.000Z",,,,,,,,,,,,,"20","https://www.tiktok.com/@duocsihiv/video/7557610996651625746?q=hivs&t=1760334944243","true",,,,"false","7557706741654209298",,"https://www.tiktok.com/@duocsihiv/video/7557610996651625746?q=hivs&t=1760334944243","Dạ mình yc là họ làm mà","7514640075834246152","duocsihiv","https://www.tiktok.com/@duocsihiv/video/7557610996651625746"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/3992a51f622b3b3d0b7d5be6ce57e1e1~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=ba3a927a&x-expires=1762750800&x-signature=1wKnYM0Sjj2kCjPCVdg5PEsd58Y%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7558724730472956693","1759902754","2025-10-08T05:52:34.000Z",,,,,,,,,,,,,"0","https://www.tiktok.com/@duocsihiv/video/7557610996651625746?q=hivs&t=1760334944243","false",,,,"false",,"0","https://www.tiktok.com/@duocsihiv/video/7557610996651625746?q=hivs&t=1760334944243","giang mai co ngua ko bac si","6589161118345691138","hoannguyen47","https://www.tiktok.com/@duocsihiv/video/7557610996651625746"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/7429df2bc74524083b5efaaa0db8abc6~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=b7b834be&x-expires=1762750800&x-signature=7J7wJoVHbPBhlofpxJ89lJTwXOE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7557759408186475282","1759677995","2025-10-05T15:26:35.000Z",,,,,,,,,,,,,"650","https://www.tiktok.com/@duocsihiv/video/7557610996651625746?q=hivs&t=1760334944243","true",,,,"false",,"168","https://www.tiktok.com/@duocsihiv/video/7557610996651625746?q=hivs&t=1760334944243","Sao dược sĩ ko đi găng tay","6543931359588253697","qp_fit","https://www.tiktok.com/@duocsihiv/video/7557610996651625746"
"https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/e1dcb63f66a20afc492e15dfa95ad7f6~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=355acc14&x-expires=1762750800&x-signature=Efnjxhx4hAHH8wKJVR483%2FtO8wo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7563517643005641490","1761018685","2025-10-21T03:51:25.000Z","Test Giang Mai (ship che tên)","https://www.tiktok.com/@",,"",,,,,,,,,"2","https://www.tiktok.com/@duocsihiv/video/7557610996651625746?q=hivs&t=1760334944243","true","*Test Giang Mai (ship che tên)",,,"false","7557759408186475282",,"https://www.tiktok.com/@duocsihiv/video/7557610996651625746?q=hivs&t=1760334944243","*Test Giang Mai (ship che tên)","7514640075834246152","duocsihiv","https://www.tiktok.com/@duocsihiv/video/7557610996651625746"
