"avatarThumbnail","cid","createTime","createTimeISO","detailedMentions/0/nickName","detailedMentions/0/profileUrl","detailedMentions/0/secUid","detailedMentions/0/userId","detailedMentions/1/nickName","detailedMentions/1/profileUrl","detailedMentions/1/secUid","detailedMentions/1/userId","detailedMentions/2/nickName","detailedMentions/2/profileUrl","detailedMentions/2/secUid","detailedMentions/2/userId","diggCount","input","likedByAuthor","mentions/0","mentions/1","mentions/2","pinnedByAuthor","repliesToId","replyCommentTotal","submittedVideoUrl","text","uid","uniqueId","videoWebUrl"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/80c629acda989f582e14e9e189c0e39e~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=76508623&x-expires=1762408800&x-signature=2b8C8FpdOZzAukiXU8V2zaVhMdM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7354594036684505874","1712374874","2024-04-06T03:41:14.000Z",,,,,,,,,,,,,"20","https://www.tiktok.com/@ggs68news.official/video/7354193867505159441?is_from_webapp=1&sender_device=pc&web_id=7473070357060453930","false",,,,"false",,"27","https://www.tiktok.com/@ggs68news.official/video/7354193867505159441?is_from_webapp=1&sender_device=pc&web_id=7473070357060453930","T nhìn nhà bà dì t mà nản dùm dì t luôn nhà 3 đứa con gái thì LGBT hết luôn nhớ 5-6 năm trc còn quen trai xong có bà chị thứ ba quen gái xong cái nữa năm sau bà chị2 cũng dị luôn còn cô út thì","6654026034818416642","kencoca43","https://www.tiktok.com/@ggs68news.official/video/7354193867505159441"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/5a036e22127b5b0f4b8a4bc869b6b763~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=70146aff&x-expires=1762408800&x-signature=mKehMA3K0G3WWNNQ8TbQaR7sww0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7354266116938531585","1712298536","2024-04-05T06:28:56.000Z",,,,,,,,,,,,,"6150","https://www.tiktok.com/@ggs68news.official/video/7354193867505159441?is_from_webapp=1&sender_device=pc&web_id=7473070357060453930","false",,,,"false",,"61","https://www.tiktok.com/@ggs68news.official/video/7354193867505159441?is_from_webapp=1&sender_device=pc&web_id=7473070357060453930","Thời nào chả có, chẳng qua trước đây k dám nói ra thôi","7269345669869143041","n.danh4919","https://www.tiktok.com/@ggs68news.official/video/7354193867505159441"
"https://p16-common-sign.tiktokcdn-us.com/tos-useast2a-avt-0068-giso/5b408a52183a60babd506fc27bd55e1c~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=7b596a21&x-expires=1762408800&x-signature=EMotDkbVOUAPT%2B%2FlKHJCrrjyO4w%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7354285509755732753","1712303049","2024-04-05T07:44:09.000Z",,,,,,,,,,,,,"980","https://www.tiktok.com/@ggs68news.official/video/7354193867505159441?is_from_webapp=1&sender_device=pc&web_id=7473070357060453930","false",,,,"false",,"91","https://www.tiktok.com/@ggs68news.official/video/7354193867505159441?is_from_webapp=1&sender_device=pc&web_id=7473070357060453930","zô đọc cmt t tưởng đang ở thời kỳ khủng long chưa tiệt chủng k đó:))","7004467460091937818","lori_tieugiai","https://www.tiktok.com/@ggs68news.official/video/7354193867505159441"
"https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/e91e8b564635d208ee3a5c82487bfd78~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=03c6b462&x-expires=1762408800&x-signature=gs6VR2pj1ecFekReSoTWwA5UuBo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7354205803458528007","1712284479","2024-04-05T02:34:39.000Z",,,,,,,,,,,,,"1402","https://www.tiktok.com/@ggs68news.official/video/7354193867505159441?is_from_webapp=1&sender_device=pc&web_id=7473070357060453930","false",,,,"false",,"146","https://www.tiktok.com/@ggs68news.official/video/7354193867505159441?is_from_webapp=1&sender_device=pc&web_id=7473070357060453930","thật ra thì thời nào cũng có chỉ là bh đỡ khắc nghiệt hơn hồi sưa nên mới công khai nhiều thui","6716885520410936322","enkai35","https://www.tiktok.com/@ggs68news.official/video/7354193867505159441"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/0701f3df723de4c8fb835d0a1be6648d~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=41943806&x-expires=1762408800&x-signature=PYIWLbiRNvtxAb72Hwoxs9slaLc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7358074990301135634","1713185346","2024-04-15T12:49:06.000Z",,,,,,,,,,,,,"807","https://www.tiktok.com/@ggs68news.official/video/7354193867505159441?is_from_webapp=1&sender_device=pc&web_id=7473070357060453930","false",,,,"false",,"51","https://www.tiktok.com/@ggs68news.official/video/7354193867505159441?is_from_webapp=1&sender_device=pc&web_id=7473070357060453930","Đọc comment mà đau lòng, không baoh nghĩ rằng mxh nước ta toxic đến mức thế này...","7038903173117805570","yasu_nguyen","https://www.tiktok.com/@ggs68news.official/video/7354193867505159441"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/ffacd28283cc8a16a13f07f6fb33209c~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=42c9598a&x-expires=1762408800&x-signature=QkYSJul1kWGE02hSqRVaDs6tUAs%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7382514173933486856","1718875535","2024-06-20T09:25:35.000Z",,,,,,,,,,,,,"112","https://www.tiktok.com/@ggs68news.official/video/7354193867505159441?is_from_webapp=1&sender_device=pc&web_id=7473070357060453930","false",,,,"false",,"7","https://www.tiktok.com/@ggs68news.official/video/7354193867505159441?is_from_webapp=1&sender_device=pc&web_id=7473070357060453930","thế thì chết này ra đường khéo ở đâu cũng thấy lẩu gà bình thuận 😂","6998105183017731074","thickphuba","https://www.tiktok.com/@ggs68news.official/video/7354193867505159441"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/277f837a9fc5d639ac35b87870143f9d~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=32206b5f&x-expires=1762408800&x-signature=kQCbGcJnQR3pwGknAQo%2FVeYLlwU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7354376964448633608","1712324329","2024-04-05T13:38:49.000Z",,,,,,,,,,,,,"304","https://www.tiktok.com/@ggs68news.official/video/7354193867505159441?is_from_webapp=1&sender_device=pc&web_id=7473070357060453930","false",,,,"false",,"23","https://www.tiktok.com/@ggs68news.official/video/7354193867505159441?is_from_webapp=1&sender_device=pc&web_id=7473070357060453930","đọc cmt tưởng qlai thời tiền sử ^^","7089781772213617665","muadongnhoem_12","https://www.tiktok.com/@ggs68news.official/video/7354193867505159441"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/830875b850ad5d4ca58165fd3a19a5ce~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=0bafa62e&x-expires=1762408800&x-signature=wYheLqRMVCt3copIakm%2FFa00BAA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7354613298615272210","1712379362","2024-04-06T04:56:02.000Z",,,,,,,,,,,,,"348","https://www.tiktok.com/@ggs68news.official/video/7354193867505159441?is_from_webapp=1&sender_device=pc&web_id=7473070357060453930","false",,,,"false",,"12","https://www.tiktok.com/@ggs68news.official/video/7354193867505159441?is_from_webapp=1&sender_device=pc&web_id=7473070357060453930","đọc cmt mà không tin con người mà cmt được vậy luôn á??","6534661558986326018","oreosocola","https://www.tiktok.com/@ggs68news.official/video/7354193867505159441"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/65258982846e93d90c10388429bd88bc~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=31e5745a&x-expires=1762408800&x-signature=HVoVnPaezJHaEFHh1vqOQ%2BINjgk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7385624754524373767","1719599772","2024-06-28T18:36:12.000Z",,,,,,,,,,,,,"99","https://www.tiktok.com/@ggs68news.official/video/7354193867505159441?is_from_webapp=1&sender_device=pc&web_id=7473070357060453930","false",,,,"false",,"0","https://www.tiktok.com/@ggs68news.official/video/7354193867505159441?is_from_webapp=1&sender_device=pc&web_id=7473070357060453930","lỗi phần mềm mà lại cứ tưởng là tính năng limited đến ạ :))","6822139636245169153","flamehoziron","https://www.tiktok.com/@ggs68news.official/video/7354193867505159441"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/49d94806d3d108ebd533dc5309d1d6a0~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=d9d702f7&x-expires=1762408800&x-signature=AqUa0H8E%2BI9PvsobHTjv1aDZEhY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7386537338073301768","1719812248","2024-07-01T05:37:28.000Z",,,,,,,,,,,,,"215","https://www.tiktok.com/@ggs68news.official/video/7354193867505159441?is_from_webapp=1&sender_device=pc&web_id=7473070357060453930","false",,,,"false",,"0","https://www.tiktok.com/@ggs68news.official/video/7354193867505159441?is_from_webapp=1&sender_device=pc&web_id=7473070357060453930","Chê lỗi cái là dỗi 😁","6950522485927674882","trust.0319","https://www.tiktok.com/@ggs68news.official/video/7354193867505159441"
