author,text,likeCount,publishedAt,video_id
@ComeOutLGBTVietnam_MCV,Bố đơn thân LGBT 1 mình nuôi con gái: https://youtu.be/_0WQwdTWAK8,54,2023-06-27T04:58:12Z,aaz_GPyTaj8
@thinhuonginh106,Tuyệt vờ<br><br><br><br><br>😂,10,2023-06-28T13:53:44Z,aaz_GPyTaj8
@thinhuonginh106,Tuyệt vời chuc hai con va hai chau khoe hanh phuc,2,2023-06-28T13:55:46Z,aaz_GPyTaj8
@thuytinhang3341,​@thinhuonginh106Rt,0,2023-06-29T06:22:09Z,aaz_GPyTaj8
@trangiahuy641,Chúc hai bố mk bình an,0,2023-07-01T06:09:58Z,aaz_GPyTaj8
@duccong1950,​@thinhuonginh106❤😢😮😂,0,2023-07-02T02:21:54Z,aaz_GPyTaj8
@vannguyenthanh7539,Nhìn bé đáng yêu thế,0,2023-07-02T04:05:32Z,aaz_GPyTaj8
@LamVu-ls3jo,​@thinhuonginh106😊😅a😊,0,2023-07-02T06:45:23Z,aaz_GPyTaj8
@VanVo-ki3sk,@trangiahuy641 y,0,2023-07-02T12:37:48Z,aaz_GPyTaj8
@nhonnguyen7157,😂​@thinhuonginh106,0,2023-07-03T01:21:25Z,aaz_GPyTaj8
@XuyenHuynh-nj5ro,​@thinhuonginh106mở,0,2023-07-03T07:34:57Z,aaz_GPyTaj8
@ThoaNguyen-hs9ln,​@thuytinhang3341❤❤❤,0,2023-07-04T05:47:56Z,aaz_GPyTaj8
@aNguyenvan-kj7hi,​@thinhuonginh106,1,2023-07-05T02:00:23Z,aaz_GPyTaj8
@xuanhuong8640,​@thinhuonginh106❤❤⅝6,0,2023-07-11T13:34:47Z,aaz_GPyTaj8
@anhtuyetnguyen7138,Nể quá . . Các bạn chăm 1 em bé❤❤,0,2025-09-26T10:31:07Z,aaz_GPyTaj8
@anhtuyetnguyen7138,"Thương quá
Hai bạn này",0,2025-09-26T10:26:47Z,aaz_GPyTaj8
@anhtuyetnguyen7138,Bạn là người con có hiếu. Bạn sẽ luôn hp😊❤,0,2025-09-26T10:18:17Z,aaz_GPyTaj8
@anhtuyetnguyen7138,"Câu chuyện cảm động quá
Bạn quý rất tình cảm
Bạn sẽ mấy mắn😊",0,2025-09-26T10:12:22Z,aaz_GPyTaj8
@tyle6678,Thật ngưỡng mộ anh lắm anh Quý! Người cần được như vậy mà không bik trân quý! ❤❤❤,0,2025-02-15T06:13:13Z,aaz_GPyTaj8
@SonDan-tk7es,MC hỏi chán quá. Không bằng một phần nhỏ của Minh Tuân,1,2025-02-15T04:20:52Z,aaz_GPyTaj8
@leeyangthanat9129,Quý mau mau trả nợ tui nhanh thiếu tui nay cũng 4-5 tháng rồi,0,2025-01-16T06:40:20Z,aaz_GPyTaj8
@NdjxUydud,Qua xuc dong voi cau chuyen cua e quy ke,0,2024-12-28T00:06:29Z,aaz_GPyTaj8
@TuanNguyen-u6y5h,Chúc cháu quý luôn nhiều sức khỏe đê nuôi con,0,2024-09-20T17:18:01Z,aaz_GPyTaj8
@vanphongluu9972,Anh nhìn  2 cha con thật  đáng  thương  triều  mến  .đáng  trân  trọng  .chúc  em có  đường  lối  đúng  đẳng  bước  tiếp  về  phía  trước  .sẽ  rộng  mở  .Bình  minh trời  lại  sáng ❤,2,2024-09-19T13:24:11Z,aaz_GPyTaj8
@PhuongNguyen-sw5ec,❤❤ thấy a thương e có tâm nua chúc a tìm đc HP mới về lô cho cháu bé . bởi giới này k có hp dau dung tin vào giới này,0,2024-07-25T11:29:55Z,aaz_GPyTaj8
@HongNguyen-pw7fx,"Chúc GĐ 2 cháu mãi hạnh phúc, luôn thành công",0,2024-07-09T12:38:42Z,aaz_GPyTaj8
@HoBao-t8y,"Mong quý tỉnh táo ko nên niếu kéo  , bạn đó làm gì  ,họ chỉ lợi dụng  bạn thôi quý ơi",0,2024-06-23T06:55:49Z,aaz_GPyTaj8
@HoBao-t8y,"Bà mẹ ích kỷ , ko cho quý nui em bé , em bé Là 1 tờ giấy trắng  , xin  bà  mẹ  sống thoáng đi",0,2024-06-23T06:51:03Z,aaz_GPyTaj8
@LinhLe-rj2tz,Biết Cảnh tuyệt vời vậy mà còn k bớt nhậu xỉn về chọc con khóc nữa. Vì dổ được trẻ con ngủ rất khó. Mà bé ngủ ngon thì ng chăm sóc bé mới đỡ vất vã được.,1,2024-06-21T14:52:17Z,aaz_GPyTaj8
@LamLe-md9zt,Chúc hai cha con  mk HP,0,2024-06-21T05:03:46Z,aaz_GPyTaj8
@CucNguyen-jw1bw,Âu đi lớn lớn chút  2  bánh sinh thêm  cho  các  cụ đôi bên  thêm con cháu,0,2024-06-20T12:50:15Z,aaz_GPyTaj8
@gianghoang9184,Chúc cảnh quí mãi hạnh phúc trọn đời nuôi Audi mau ăn cháu lớn,0,2024-06-19T05:11:37Z,aaz_GPyTaj8
@huuvu3498,"Thật là ngưỡng mộ 2 cháu,chúc 3 cháu có 1 giá đình thật  hạnh phúc bình an",0,2024-04-15T12:27:12Z,aaz_GPyTaj8
@LanNguyen-ep8qh,❤,0,2024-04-04T08:41:38Z,aaz_GPyTaj8
@samnong1411,"Tuyệt  vời  quá  chúc  2 cháu  hạnh  phúc,  một  đời  an nhiên",0,2024-03-25T02:50:03Z,aaz_GPyTaj8
@phanthanhdung7941,Cố gắng lên cháu chúc cháu mạnh khỏe,0,2024-03-18T06:35:17Z,aaz_GPyTaj8
@truonghungthang6561,Hai em nut duong vat hay hau mon,0,2024-01-02T13:58:01Z,aaz_GPyTaj8
@phucmanentertainment2844,congratulation !I wish that  Quy Canh alway happy with a little boy Audi,0,2023-12-17T07:37:55Z,aaz_GPyTaj8
@DungLe-tw3vo,Thương quá,0,2023-12-09T13:05:57Z,aaz_GPyTaj8
@thiminhnguyen8547,Mot tinh cam dep chuc mung hai con 😅,0,2023-08-23T22:52:38Z,aaz_GPyTaj8
@helenna7622,Chúc các cháu luôn luôn Hạnh phúc vượt qua mọi khó khăn trong cuộc sống nhé. Thương  thương 💕💕💕,3,2023-08-21T17:49:53Z,aaz_GPyTaj8
@ĐờilàThế-p8o,Ođi là động lực là niềm vui lớn để cảnh vượt qua tất cả. Tgt3 cũng phải có con.dù con nuôi hay con mình cũng như người bình thường.người kia sao bội bạc vậy đã ko hộ chăm con còn lừa tiền nữa quá mất lương tâm.,0,2023-08-19T06:01:27Z,aaz_GPyTaj8
@phuongnguyenthi6100,Chúc gia đình luôn gui vẻ và hạnh phúc.,0,2023-08-18T02:36:10Z,aaz_GPyTaj8
@phuongng9912,Chúc hai cha con mạnh   mạnh khỏe nhé 😊😊😊😊😊😊🎉🎉🎉🎉🎉🎉😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊❤❤❤❤❤❤❤❤❤,1,2023-08-17T03:00:59Z,aaz_GPyTaj8
@vanhangnguyen2236,giỏi quá quý ơi,0,2023-08-09T14:22:47Z,aaz_GPyTaj8
@thinhphat4194,Mình thấy gia đình nầy dể thương mình chúc Quý và cảnh trăm năm hp nha,1,2023-07-26T14:30:57Z,aaz_GPyTaj8
@phinbui9221,Thương quá cũng một con người mà,0,2023-07-23T09:17:18Z,aaz_GPyTaj8
@vutunglam2605,Tuyệt vời còn giỏi hon cả phụ nữ,0,2023-07-23T07:58:35Z,aaz_GPyTaj8
@kimlê-r8s,Rất.  Quí. Con.  😂😂😂😂😂,0,2023-07-23T03:00:28Z,aaz_GPyTaj8
@mylongtruong9039,Rất xúc động qua lời phát biểu của Quý,4,2023-07-20T06:33:56Z,aaz_GPyTaj8
@LIENBICH-o3c,Nghe tâm sự của cháu mà thương quá trên cả tuyệt vời,8,2023-07-18T12:20:16Z,aaz_GPyTaj8
@nuha4270,"Có phước , con nuôi ,con ruột, cũng nhờ được hết",0,2023-07-17T13:47:14Z,aaz_GPyTaj8
@kimcucbui6832,rất trân quý tình cảm em dành cho bé chúc 2 bố con em thật nhiều sk,6,2023-07-15T10:13:24Z,aaz_GPyTaj8
@oanhcu9576,Quý ơi em tuyệt vời lắm...mong em có hậu về sau...,1,2023-07-14T08:37:28Z,aaz_GPyTaj8
@SauTruongthi-w6f,Xem mà cảm động  bạn quý lắm luôn,1,2023-07-12T04:52:57Z,aaz_GPyTaj8
