"avatarThumbnail","cid","createTime","createTimeISO","diggCount","input","likedByAuthor","pinnedByAuthor","repliesToId","replyCommentTotal","submittedVideoUrl","text","uid","uniqueId","videoWebUrl"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/7300593989554536450~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=2d6f3ad1&x-expires=1762239600&x-signature=sZDNRQVFktdSucJBxhPD9tyVSVU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7314381792931398408","1703012237","2023-12-19T18:57:17.000Z","8","https://www.tiktok.com/@bin19897/video/7259685506605174024?is_from_webapp=1&sender_device=pc&web_id=7481499603772671496","false","false",,"2","https://www.tiktok.com/@bin19897/video/7259685506605174024?is_from_webapp=1&sender_device=pc&web_id=7481499603772671496","10 người cả 10 bẩn tính, nói chung nghe dân 36 né ra đỡ thiệt thân","7297066007683793925","user013780476","https://www.tiktok.com/@bin19897/video/7259685506605174024"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/f844335c7f3c4febf0b7c18c379c7c6a~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=dfc09638&x-expires=1762239600&x-signature=eBIE05fOw67JNkhYok1qlpErtQ0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7314489018141754119","1703037220","2023-12-20T01:53:40.000Z","0","https://www.tiktok.com/@bin19897/video/7259685506605174024?is_from_webapp=1&sender_device=pc&web_id=7481499603772671496","false","false","7314381792931398408",,"https://www.tiktok.com/@bin19897/video/7259685506605174024?is_from_webapp=1&sender_device=pc&web_id=7481499603772671496","😂","6704210657170473986","bin19897","https://www.tiktok.com/@bin19897/video/7259685506605174024"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/581888e32b73d8075d689750fbaf0987~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=6afa9f8f&x-expires=1762239600&x-signature=V1C8%2BFowwugpy33%2BEMDdiRtJbhM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7259751141818155783","1690292542","2023-07-25T13:42:22.000Z","12","https://www.tiktok.com/@bin19897/video/7259685506605174024?is_from_webapp=1&sender_device=pc&web_id=7481499603772671496","true","false",,"3","https://www.tiktok.com/@bin19897/video/7259685506605174024?is_from_webapp=1&sender_device=pc&web_id=7481499603772671496","Sorry nhưng quen 10 thì 9 người..... ))) đôi khi ko tự đâu khói mà hình thành ^^","6514992512623640578","quang__quang","https://www.tiktok.com/@bin19897/video/7259685506605174024"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/544d8c3d54a340667cf47bdce3a36134~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=473d3d7f&x-expires=1762239600&x-signature=yt%2BZbh%2FRfJs0BaKMfQV0EgTLLAA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7259736637562520328","1690289165","2023-07-25T12:46:05.000Z","7","https://www.tiktok.com/@bin19897/video/7259685506605174024?is_from_webapp=1&sender_device=pc&web_id=7481499603772671496","false","false",,"1","https://www.tiktok.com/@bin19897/video/7259685506605174024?is_from_webapp=1&sender_device=pc&web_id=7481499603772671496","Ở đâu cũng có người này người kia nhưng mà bản thân mình toàn gặp phải những bạn người Thanh Hoá xấu tính 🥲","6806075603633505281","htrg0320","https://www.tiktok.com/@bin19897/video/7259685506605174024"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/f844335c7f3c4febf0b7c18c379c7c6a~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=dfc09638&x-expires=1762239600&x-signature=eBIE05fOw67JNkhYok1qlpErtQ0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7259736765359489800","1690289197","2023-07-25T12:46:37.000Z","0","https://www.tiktok.com/@bin19897/video/7259685506605174024?is_from_webapp=1&sender_device=pc&web_id=7481499603772671496","false","false","7259736637562520328",,"https://www.tiktok.com/@bin19897/video/7259685506605174024?is_from_webapp=1&sender_device=pc&web_id=7481499603772671496","😂","6704210657170473986","bin19897","https://www.tiktok.com/@bin19897/video/7259685506605174024"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/64bcab2382cdb37c9db191edcb9d4140~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=b6210ddb&x-expires=1762239600&x-signature=b0MBejpkcwTC%2BQS09Sn%2FOmnWPFQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7260162889247392519","1690388408","2023-07-26T16:20:08.000Z","3","https://www.tiktok.com/@bin19897/video/7259685506605174024?is_from_webapp=1&sender_device=pc&web_id=7481499603772671496","true","false",,"1","https://www.tiktok.com/@bin19897/video/7259685506605174024?is_from_webapp=1&sender_device=pc&web_id=7481499603772671496","Chắc là tự dưng người ta từ Bắc chí Nam người ta ghét đó anh :)) chỉ tự dưng mà hơi nhiều người không thích thôi🤭","6508794524256649217","ducphuc.prv9","https://www.tiktok.com/@bin19897/video/7259685506605174024"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/f844335c7f3c4febf0b7c18c379c7c6a~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=dfc09638&x-expires=1762239600&x-signature=eBIE05fOw67JNkhYok1qlpErtQ0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7260163050564928263","1690388446","2023-07-26T16:20:46.000Z","1","https://www.tiktok.com/@bin19897/video/7259685506605174024?is_from_webapp=1&sender_device=pc&web_id=7481499603772671496","false","false","7260162889247392519",,"https://www.tiktok.com/@bin19897/video/7259685506605174024?is_from_webapp=1&sender_device=pc&web_id=7481499603772671496","Oke em","6704210657170473986","bin19897","https://www.tiktok.com/@bin19897/video/7259685506605174024"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/70a0d9ca84e112c63375eece1d561ca8~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=1dcc88e1&x-expires=1762239600&x-signature=yGtrypbFnCnk8tB%2BeZ39oyvcanU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7259696101174723336","1690279723","2023-07-25T10:08:43.000Z","2","https://www.tiktok.com/@bin19897/video/7259685506605174024?is_from_webapp=1&sender_device=pc&web_id=7481499603772671496","true","false",,"3","https://www.tiktok.com/@bin19897/video/7259685506605174024?is_from_webapp=1&sender_device=pc&web_id=7481499603772671496","a rể tui người thanh hoá ổng hiền quá nhìu khi phát bực","6566825099175968770","020893p","https://www.tiktok.com/@bin19897/video/7259685506605174024"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/f844335c7f3c4febf0b7c18c379c7c6a~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=dfc09638&x-expires=1762239600&x-signature=eBIE05fOw67JNkhYok1qlpErtQ0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7259696473032704776","1690279808","2023-07-25T10:10:08.000Z","0","https://www.tiktok.com/@bin19897/video/7259685506605174024?is_from_webapp=1&sender_device=pc&web_id=7481499603772671496","false","false","7259696101174723336",,"https://www.tiktok.com/@bin19897/video/7259685506605174024?is_from_webapp=1&sender_device=pc&web_id=7481499603772671496","Ủa. Hâhhah","6704210657170473986","bin19897","https://www.tiktok.com/@bin19897/video/7259685506605174024"
"https://p19-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/eb024bf578689fe2ae146acfdf0bd5e9~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=4d524f23&x-expires=1762239600&x-signature=%2BJjaBdBIJLDaDkX53f2wXLqgnsY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7259727101452305153","1690286951","2023-07-25T12:09:11.000Z","1","https://www.tiktok.com/@bin19897/video/7259685506605174024?is_from_webapp=1&sender_device=pc&web_id=7481499603772671496","true","false",,"1","https://www.tiktok.com/@bin19897/video/7259685506605174024?is_from_webapp=1&sender_device=pc&web_id=7481499603772671496","ai súc phạm hay nói ko hay về ng Thanh Hóa e đi chỗ khác luôn 🥰","6613554081104297985","hieudz2301","https://www.tiktok.com/@bin19897/video/7259685506605174024"
