"avatarThumbnail","cid","createTime","createTimeISO","detailedMentions/0/nickName","detailedMentions/0/profileUrl","detailedMentions/0/secUid","detailedMentions/0/userId","detailedMentions/1/nickName","detailedMentions/1/profileUrl","detailedMentions/1/secUid","detailedMentions/1/userId","detailedMentions/2/nickName","detailedMentions/2/profileUrl","detailedMentions/2/secUid","detailedMentions/2/userId","detailedMentions/3/nickName","detailedMentions/3/profileUrl","detailedMentions/3/secUid","detailedMentions/3/userId","diggCount","input","likedByAuthor","mentions/0","mentions/1","mentions/2","mentions/3","pinnedByAuthor","repliesToId","replyCommentTotal","submittedVideoUrl","text","uid","uniqueId","videoWebUrl"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/2e2115571a456ba02e87241da0211b13~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=f1bba1a0&x-expires=1762304400&x-signature=E4%2FQ0tpHZnLqjg0p2Zd%2B4MwO0oU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7301179916539757314","1699938443","2023-11-14T05:07:23.000Z",,,,,,,,,,,,,,,,,"143","https://www.tiktok.com/@giahuydbrr/video/7300914258433281281?is_from_webapp=1&sender_device=pc&web_id=7481499603772671496","true",,,,,"false",,"55","https://www.tiktok.com/@giahuydbrr/video/7300914258433281281?is_from_webapp=1&sender_device=pc&web_id=7481499603772671496","Parky an ca ro phi","7188381117894919194","quaiancuti","https://www.tiktok.com/@giahuydbrr/video/7300914258433281281"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/4628255eb00499688e4b859af9ddaffc~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=7655bcf0&x-expires=1762304400&x-signature=9LOwh8Ox6vzHSbgrNnOdkWcN4bA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7452143262784209665","1735087350","2024-12-25T00:42:30.000Z",,,,,,,,,,,,,,,,,"14","https://www.tiktok.com/@giahuydbrr/video/7300914258433281281?is_from_webapp=1&sender_device=pc&web_id=7481499603772671496","false",,,,,"false",,"1","https://www.tiktok.com/@giahuydbrr/video/7300914258433281281?is_from_webapp=1&sender_device=pc&web_id=7481499603772671496","parky cay lắm","7435659301224104981","tran_phu92","https://www.tiktok.com/@giahuydbrr/video/7300914258433281281"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/4ec9b302cc1c63ffc5f359f78c770d61~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=a1d82c59&x-expires=1762304400&x-signature=yVNS2yUSSXCOmK5qh%2BOuDdxl4Zg%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7402968945597596424","1723638029","2024-08-14T12:20:29.000Z",,,,,,,,,,,,,,,,,"13","https://www.tiktok.com/@giahuydbrr/video/7300914258433281281?is_from_webapp=1&sender_device=pc&web_id=7481499603772671496","false",,,,,"false",,"4","https://www.tiktok.com/@giahuydbrr/video/7300914258433281281?is_from_webapp=1&sender_device=pc&web_id=7481499603772671496","parky","7093111857452319745","usergqlefulda5","https://www.tiktok.com/@giahuydbrr/video/7300914258433281281"
"https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/b5d897a0393487ae3fa0e4932a53930d~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=dbdb0ec8&x-expires=1762304400&x-signature=SoS5EPdlNwL7oc84ISryKkDFIgw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7410064018368611079","1725289978","2024-09-02T15:12:58.000Z",,,,,,,,,,,,,,,,,"6","https://www.tiktok.com/@giahuydbrr/video/7300914258433281281?is_from_webapp=1&sender_device=pc&web_id=7481499603772671496","false",,,,,"false",,"0","https://www.tiktok.com/@giahuydbrr/video/7300914258433281281?is_from_webapp=1&sender_device=pc&web_id=7481499603772671496","parky cho","7409700545440793607","homaam121","https://www.tiktok.com/@giahuydbrr/video/7300914258433281281"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/98f9722ec75aa3e2e3a672535c026cc7~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=7ed1cfca&x-expires=1762304400&x-signature=cjyMed7NBNqU8aLCVXKElRGttNQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7301339608090985224","1699977417","2023-11-14T15:56:57.000Z",,,,,,,,,,,,,,,,,"25","https://www.tiktok.com/@giahuydbrr/video/7300914258433281281?is_from_webapp=1&sender_device=pc&web_id=7481499603772671496","true",,,,,"false",,"7","https://www.tiktok.com/@giahuydbrr/video/7300914258433281281?is_from_webapp=1&sender_device=pc&web_id=7481499603772671496","night cold ems Parky 🍇🍇","6897544754965578757","_tzii_150413","https://www.tiktok.com/@giahuydbrr/video/7300914258433281281"
"https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/7d273a537d963b00e2335732e1d6cbe8~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=c186f925&x-expires=1762304400&x-signature=yT3NS2cDNbEvMDX%2FlcnBsSMJhpc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7303154480181641992","1700398167","2023-11-19T12:49:27.000Z",,,,,,,,,,,,,,,,,"11","https://www.tiktok.com/@giahuydbrr/video/7300914258433281281?is_from_webapp=1&sender_device=pc&web_id=7481499603772671496","true",,,,,"false",,"4","https://www.tiktok.com/@giahuydbrr/video/7300914258433281281?is_from_webapp=1&sender_device=pc&web_id=7481499603772671496","night coems parky 🗣🗣🗣🔥🔥","7157733213032236037","kenryo0892","https://www.tiktok.com/@giahuydbrr/video/7300914258433281281"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/0e353572b92c70cb5bd0b255a8d7475f~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=05cecbe2&x-expires=1762304400&x-signature=SpyeLNUMc8dRQGFVtiqoy7kwzag%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7367180015963112200","1715305282","2024-05-10T01:41:22.000Z",,,,,,,,,,,,,,,,,"8","https://www.tiktok.com/@giahuydbrr/video/7300914258433281281?is_from_webapp=1&sender_device=pc&web_id=7481499603772671496","false",,,,,"false",,"3","https://www.tiktok.com/@giahuydbrr/video/7300914258433281281?is_from_webapp=1&sender_device=pc&web_id=7481499603772671496","5ki trungki parky là ae 1 nhà💗💓💝💓💝💓💕💘💞💝💗💘💓💘💯🔥🔥💯🔥💯💯","7159802490686505985","dangvitvang","https://www.tiktok.com/@giahuydbrr/video/7300914258433281281"
"https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/16ab250ab4b2affe5bb9d6a0e0444675~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=ac550ebc&x-expires=1762304400&x-signature=v881R%2Fyq77yMEBtJYAL2Pcavvp4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7302413962560668417","1700225761","2023-11-17T12:56:01.000Z",,,,,,,,,,,,,,,,,"56","https://www.tiktok.com/@giahuydbrr/video/7300914258433281281?is_from_webapp=1&sender_device=pc&web_id=7481499603772671496","true",,,,,"false",,"16","https://www.tiktok.com/@giahuydbrr/video/7300914258433281281?is_from_webapp=1&sender_device=pc&web_id=7481499603772671496","cô em parky cho","6850692109823378433","ssscz6","https://www.tiktok.com/@giahuydbrr/video/7300914258433281281"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/45a1a68ce0376262af9f35e683e99361~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=b801b619&x-expires=1762304400&x-signature=weTBAx95rum3WqCcGohCHISyKvA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7302345724455682817","1700213990","2023-11-17T09:39:50.000Z",,,,,,,,,,,,,,,,,"6","https://www.tiktok.com/@giahuydbrr/video/7300914258433281281?is_from_webapp=1&sender_device=pc&web_id=7481499603772671496","true",,,,,"false",,"2","https://www.tiktok.com/@giahuydbrr/video/7300914258433281281?is_from_webapp=1&sender_device=pc&web_id=7481499603772671496","funky🗣️","7109221495158850565","brygbrander_28","https://www.tiktok.com/@giahuydbrr/video/7300914258433281281"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/35af244324b9dd817a11cae9ac5e73c1~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=5bce0e33&x-expires=1762304400&x-signature=tP7qTfTZmW%2B%2FPg%2B0fk%2FIV87o%2FIc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7301275130285540097","1699960609","2023-11-14T11:16:49.000Z",,,,,,,,,,,,,,,,,"1","https://www.tiktok.com/@giahuydbrr/video/7300914258433281281?is_from_webapp=1&sender_device=pc&web_id=7481499603772671496","true",,,,,"false",,"3","https://www.tiktok.com/@giahuydbrr/video/7300914258433281281?is_from_webapp=1&sender_device=pc&web_id=7481499603772671496","parky la ban nike","6785339030282519553","_lullabycutivl","https://www.tiktok.com/@giahuydbrr/video/7300914258433281281"
