author,text,likeCount,publishedAt,video_id
@vietnammaithangok,"Cmt toàn dog(ý là bọn sủa parky)với lại có khi nhiều ng bị dính ""parky"" trong khi là ng nam:)",0,2025-09-13T05:57:04Z,bAj4Z-U0Twg
@VNCH_chicken,Parky,0,2025-09-07T09:53:05Z,bAj4Z-U0Twg
@vietnammaithangok,Sybau,0,2025-09-13T05:54:37Z,bAj4Z-U0Twg
@Taughetcali,Parky là loài linh trưởng không phải người Việt Nam,0,2025-09-04T17:48:54Z,bAj4Z-U0Twg
@thanhang3766,namkiki,0,2025-07-06T07:50:49Z,bAj4Z-U0Twg
@123gggjfodfd-ru8xm,cali khát,0,2025-07-07T14:23:03Z,bAj4Z-U0Twg
@thanhang3766,​@123gggjfodfd-ru8xmt phải cali  đâu kid,0,2025-07-08T03:06:49Z,bAj4Z-U0Twg
@hbn_unlove,Parky,1,2025-05-10T06:33:36Z,bAj4Z-U0Twg
@haaothithu7598,Đu càng😂😂,0,2025-06-25T10:07:34Z,bAj4Z-U0Twg
@thixuandinhdo4489,Khi cali mất nước làm video kiểu,0,2025-05-03T11:37:02Z,bAj4Z-U0Twg
@VK1401,lquan ko?,0,2025-06-02T10:49:02Z,bAj4Z-U0Twg
@Soviet_Unionhaha,Liên quan?,0,2025-09-04T08:57:00Z,bAj4Z-U0Twg
@nguyentuyet1-q1q,"C̶o̶n̶ n̶í̶t̶ m̶ồ̶ c̶ô̶i̶ n̶h̶ư̶ m̶à̶y̶ t̶h̶ì̶ b̶i̶ế̶t̶ c̶o̶n̶ c̶ặ̶c̶ g̶ì̶ ̶̶m̶̶à ̶̶̶̶s̶̶̶̶ủ̶̶̶̶a, C̷ả̷ ̷n̷h̷à̷ ̷m̷à̷y̷ ̷đ̷ị̷t̷ ̷n̷h̷a̷u̷ ̷t̷r̷ê̷n̷ ̷b̷à̷n̷ ̷t̷h̷ờ̷",0,2025-10-19T08:02:51Z,bAj4Z-U0Twg
@style5989,Parky ăn cá rô,1,2025-04-11T15:39:52Z,bAj4Z-U0Twg
@thixuandinhdo4489,mất nước ăn xin nước,0,2025-05-03T11:32:49Z,bAj4Z-U0Twg
@duongvokieu4868,Mày ăn cá rôll rick,0,2025-06-12T04:12:01Z,bAj4Z-U0Twg
@Soviet_Unionhaha,Matsaigonvuikoem😂,0,2025-09-04T08:56:31Z,bAj4Z-U0Twg
@style5989,"@Soviet_Unionhaha ô parky cay à, t ở HCM nè, xuống đây coi xem tụi parky m có bị pbvm ko",0,2025-09-04T09:03:28Z,bAj4Z-U0Twg
@Soviet_Unionhaha,Tự nhiên kêu t xuống TP HCM làm j v parquecon ơi​@style5989,0,2025-09-04T09:50:53Z,bAj4Z-U0Twg
@style5989,​@Soviet_Unionhaha😂 sợ vô Nam à. Vô để xem lũ parky cm bị pb như nào 😂😂😂,0,2025-09-04T10:19:31Z,bAj4Z-U0Twg
@vietnammaithangok,Wow rick lăn no water:),0,2025-09-13T05:55:24Z,bAj4Z-U0Twg
@manhtran1481,Làm gì có ai xấu mà tự nhận là mình xấu đâu . Nơi nào càng đông đúc bon chen nơi đó càng có nhiều vấn đề😂😂😂,1,2025-02-16T07:45:32Z,bAj4Z-U0Twg
@NamKeyAnCut,Namkiki thượng đẳng,0,2025-01-21T10:24:51Z,bAj4Z-U0Twg
@huuta1706,Parky giở r,0,2025-01-11T17:53:07Z,bAj4Z-U0Twg
@thixuandinhdo4489,Mất nước giở r. Ko có nước cayyyy,0,2025-05-03T11:35:53Z,bAj4Z-U0Twg
@Soviet_Unionhaha,Parque kìa,0,2025-09-04T08:57:20Z,bAj4Z-U0Twg
@catcoder1738,Parky chos,0,2025-01-01T03:04:00Z,bAj4Z-U0Twg
@thixuandinhdo4489,Chos mất nước cayyy ăn bám bọn CALI cayy,0,2025-05-03T11:36:17Z,bAj4Z-U0Twg
@haaothithu7598,Calicho😂😂,0,2025-06-25T10:07:23Z,bAj4Z-U0Twg
@Soviet_Unionhaha,Ngụy con chos😂,0,2025-09-04T08:57:33Z,bAj4Z-U0Twg
@TrangBùi-o5y,narmky k co bome,0,2024-11-22T08:26:53Z,bAj4Z-U0Twg
@thixuandinhdo4489,ko nênn phải gọi là mất nước chứ bạn ơi,0,2025-05-03T11:33:56Z,bAj4Z-U0Twg
@TrangBùi-o5y,narmky,0,2024-11-22T08:26:16Z,bAj4Z-U0Twg
@TrangBùi-o5y,narmky,0,2024-11-22T08:25:41Z,bAj4Z-U0Twg
@chibacco,Parky chó sẽ giãy đành đạch,1,2024-10-10T04:44:27Z,bAj4Z-U0Twg
@haovip_xuan_bac,Thanh Hóa miền Trung may không bị miền Trung là trung lập,1,2024-06-21T13:47:46Z,bAj4Z-U0Twg
@ongke1646,"Ai chã biết ở đâu chã có ng tốt ng xấu, nhưng ngta chỉ phân biệt khi vấn đề nó chiếm số đông, ăn ở sao mới bị phân biệt chứ 😂",1,2024-05-31T16:38:19Z,bAj4Z-U0Twg
@lehoangat3637,Parky,4,2024-05-21T14:12:23Z,bAj4Z-U0Twg
@phatminh3987,Cali cay quá nên của 😂😂😂😂😂😂,1,2024-05-22T02:22:00Z,bAj4Z-U0Twg
@NgocNguyenBaoNgoc-vr1hp,Ko ba má à hay là ko đc học vậy ông cháu,1,2024-05-22T07:32:42Z,bAj4Z-U0Twg
@eayssimplehydra3870,"P̷a̷r̷k̷y̷ ̷P̷a̷r̷k̷y̷ ̷c̷á̷i̷ ̷l̷ồ̷n̷ ̷m̷ẹ̷ ̷m̷à̷y̷,̷ ̷c̷á̷i̷ ̷ ̷g̷ì̷ ̷c̷ũ̷n̷g̷ ̷p̷a̷r̷k̷y̷ ̷,̷ ̷c̷ả̷ ̷n̷h̷à̷ ̷m̷à̷y̷ ̷đ̷ị̷t̷ ̷n̷h̷a̷u̷ ̷t̷r̷ê̷n̷ ̷b̷à̷n̷ ̷t̷h̷ờ̷",0,2024-05-31T08:01:07Z,bAj4Z-U0Twg
@eayssimplehydra3870,"P̷a̷r̷k̷y̷ ̷P̷a̷r̷k̷y̷ ̷c̷á̷i̷ ̷l̷ồ̷n̷ ̷m̷ẹ̷ ̷m̷à̷y̷,̷ ̷c̷á̷i̷ ̷ ̷g̷ì̷ ̷c̷ũ̷n̷g̷ ̷p̷a̷r̷k̷y̷ ̷,̷ ̷c̷ả̷ ̷n̷h̷à̷ ̷m̷à̷y̷ ̷đ̷ị̷t̷ ̷n̷h̷a̷u̷ ̷t̷r̷ê̷n̷ ̷b̷à̷n̷ ̷t̷h̷ờ̷",0,2024-05-31T08:02:10Z,bAj4Z-U0Twg
@eayssimplehydra3870,"P̷a̷r̷k̷y̷ ̷P̷a̷r̷k̷y̷ ̷c̷á̷i̷ ̷l̷ồ̷n̷ ̷m̷ẹ̷ ̷m̷à̷y̷,̷ ̷c̷á̷i̷ ̷ ̷g̷ì̷ ̷c̷ũ̷n̷g̷ ̷p̷a̷r̷k̷y̷ ̷,̷ ̷c̷ả̷ ̷n̷h̷à̷ ̷m̷à̷y̷ ̷đ̷ị̷t̷ ̷n̷h̷a̷u̷ ̷t̷r̷ê̷n̷ ̷b̷à̷n̷ ̷t̷h̷ờ̷",0,2024-05-31T08:02:33Z,bAj4Z-U0Twg
@monguyen9879,"m̷a̷i̷ ̷r̷a̷ ̷đ̷ư̷ờ̷n̷g̷ ̷ô̷ ̷t̷ô̷ ̷đ̷â̷m̷ ̷c̷h̷ế̷t̷ ̷c̷o̷n̷ ̷m̷ẹ̷ ̷m̷à̷y̷ ̷đ̷i̷,̷ ̷s̷ố̷n̷g̷ ̷l̷à̷m̷ ̷g̷ì̷ ̷c̷h̷o̷ ̷c̷h̷ậ̷t̷ ̷đ̷ấ̷t̷",0,2024-06-01T08:40:10Z,bAj4Z-U0Twg
@DinhLelong-y9j,Thằng cận huyết 😂😂😂😂😂,1,2024-06-06T23:20:58Z,bAj4Z-U0Twg
@Anhlong152,​@phatminh3987sủa mà bro 🤓,1,2024-06-07T08:54:49Z,bAj4Z-U0Twg
@phatminh3987,@Anhlong152 ừ cali cay thật mà bro 🤣,1,2024-06-07T09:18:58Z,bAj4Z-U0Twg
@Anhlong152,@phatminh3987 👆🤓,0,2024-06-07T10:06:39Z,bAj4Z-U0Twg
@kienthichlammemevayeunuoc,ta thà trốn chứ có ngu gì ko <br>quyết đu càng rạng ngời 3 que=))))),0,2024-08-28T01:34:27Z,bAj4Z-U0Twg
@mikuhatsune8121,Cali qq kid parky cấp 1 😁​@phatminh3987,0,2024-11-11T09:21:26Z,bAj4Z-U0Twg
@mikuhatsune8121,​@DinhLelong-y9jcận qq kid parky cấp 1,0,2024-11-11T09:21:36Z,bAj4Z-U0Twg
@AnhXemCacThymTheHien,Parky cay😂,1,2024-11-13T22:39:58Z,bAj4Z-U0Twg
@kienthichlammemevayeunuoc,@AnhXemCacThymTheHien matsaigon cay😂😂😂,0,2024-11-14T14:22:02Z,bAj4Z-U0Twg
@kienthichlammemevayeunuoc,@AnhXemCacThymTheHien lần sau nhớ sủa cho đúng chỗ nhá vện chó😂😂,0,2024-11-14T14:22:26Z,bAj4Z-U0Twg
@thixuandinhdo4489,mất nước cay à cu. Có nước ko hay ăn bám bọn CALI,0,2025-05-03T11:34:34Z,bAj4Z-U0Twg
