"avatarThumbnail","cid","createTime","createTimeISO","detailedMentions/0/nickName","detailedMentions/0/profileUrl","detailedMentions/0/secUid","detailedMentions/0/userId","detailedMentions/1/nickName","detailedMentions/1/profileUrl","detailedMentions/1/secUid","detailedMentions/1/userId","detailedMentions/2/nickName","detailedMentions/2/profileUrl","detailedMentions/2/secUid","detailedMentions/2/userId","detailedMentions/3/nickName","detailedMentions/3/profileUrl","detailedMentions/3/secUid","detailedMentions/3/userId","detailedMentions/4/nickName","detailedMentions/4/profileUrl","detailedMentions/4/secUid","detailedMentions/4/userId","detailedMentions/5/nickName","detailedMentions/5/profileUrl","detailedMentions/5/secUid","detailedMentions/5/userId","detailedMentions/6/nickName","detailedMentions/6/profileUrl","detailedMentions/6/secUid","detailedMentions/6/userId","detailedMentions/7/nickName","detailedMentions/7/profileUrl","detailedMentions/7/secUid","detailedMentions/7/userId","detailedMentions/8/nickName","detailedMentions/8/profileUrl","detailedMentions/8/secUid","detailedMentions/8/userId","detailedMentions/9/nickName","detailedMentions/9/profileUrl","detailedMentions/9/secUid","detailedMentions/9/userId","diggCount","input","likedByAuthor","mentions/0","mentions/1","mentions/2","mentions/3","mentions/4","mentions/5","mentions/6","mentions/7","mentions/8","mentions/9","pinnedByAuthor","repliesToId","replyCommentTotal","submittedVideoUrl","text","uid","uniqueId","videoWebUrl"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/9ef0763ead2f06d836ce5ba357da260e~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=d2dbfda7&x-expires=1762822800&x-signature=ceDUf39VXGitjzzw1f%2FmKA58z9k%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7440100409093964562","1732283371","2024-11-22T13:49:31.000Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"471","https://www.tiktok.com/@thandoccuoc/video/7439872708499754247?q=thi%C3%AAn%20ch%C3%BAa%20ph%E1%BA%A3n%20%C4%91%E1%BB%99ng%20&t=1758121871286","false",,,,,,,,,,,"false",,"14","https://www.tiktok.com/@thandoccuoc/video/7439872708499754247?q=thi%C3%AAn%20ch%C3%BAa%20ph%E1%BA%A3n%20%C4%91%E1%BB%99ng%20&t=1758121871286","Lịch Sử nước nhà không thể quên","7364758718825481233",".bnh.lun.do","https://www.tiktok.com/@thandoccuoc/video/7439872708499754247"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/7ec600e6b8806f5a2cc7ca3debc31bd2~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=d43694bd&x-expires=1762822800&x-signature=FBSBQr8cdpnpawbUykbhUTurXSo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7440667133975790354","1732415326","2024-11-24T02:28:46.000Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4","https://www.tiktok.com/@thandoccuoc/video/7439872708499754247?q=thi%C3%AAn%20ch%C3%BAa%20ph%E1%BA%A3n%20%C4%91%E1%BB%99ng%20&t=1758121871286","false",,,,,,,,,,,"false",,"0","https://www.tiktok.com/@thandoccuoc/video/7439872708499754247?q=thi%C3%AAn%20ch%C3%BAa%20ph%E1%BA%A3n%20%C4%91%E1%BB%99ng%20&t=1758121871286","cụ nói qua đúng.","6822023092332807169","nhuocnam1996","https://www.tiktok.com/@thandoccuoc/video/7439872708499754247"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/d0ec2535363f791ff1b811064b199e7c~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=ce79c821&x-expires=1762822800&x-signature=a%2BjuvFPxkMkvL3vuheN3sNB2Da8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7563241346216248082","1760954358","2025-10-20T09:59:18.000Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","https://www.tiktok.com/@thandoccuoc/video/7439872708499754247?q=thi%C3%AAn%20ch%C3%BAa%20ph%E1%BA%A3n%20%C4%91%E1%BB%99ng%20&t=1758121871286","false",,,,,,,,,,,"false",,"0","https://www.tiktok.com/@thandoccuoc/video/7439872708499754247?q=thi%C3%AAn%20ch%C3%BAa%20ph%E1%BA%A3n%20%C4%91%E1%BB%99ng%20&t=1758121871286","Và lê văn duyệt đã cãi vua minh mạng để bảo vệ thiên chúa giáo","6535704396663652354","phamduylinh93","https://www.tiktok.com/@thandoccuoc/video/7439872708499754247"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/34c2b5a551b8fbb23b6b8c417fcd52c7~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=4660aadc&x-expires=1762822800&x-signature=rgmNl12wRReTUOjGMDe5nph5b2I%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7440324465706566401","1732335544","2024-11-23T04:19:04.000Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"203","https://www.tiktok.com/@thandoccuoc/video/7439872708499754247?q=thi%C3%AAn%20ch%C3%BAa%20ph%E1%BA%A3n%20%C4%91%E1%BB%99ng%20&t=1758121871286","false",,,,,,,,,,,"false",,"56","https://www.tiktok.com/@thandoccuoc/video/7439872708499754247?q=thi%C3%AAn%20ch%C3%BAa%20ph%E1%BA%A3n%20%C4%91%E1%BB%99ng%20&t=1758121871286","Thời thế bây giờ tôn giáo nào dậy cái hay cái đẹp đều tốt cả. Quan trọng vẫn phải giữ truyền thống uống nước nhớ nguồn, tổ tiên. Yêu đất nước","7040360800695305218","thecrows123","https://www.tiktok.com/@thandoccuoc/video/7439872708499754247"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/7333613662500257793~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=eb3a849c&x-expires=1762822800&x-signature=PGFAcaemPKki8zqfANo4Kc7VgfU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7440356943409234695","1732343101","2024-11-23T06:25:01.000Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"169","https://www.tiktok.com/@thandoccuoc/video/7439872708499754247?q=thi%C3%AAn%20ch%C3%BAa%20ph%E1%BA%A3n%20%C4%91%E1%BB%99ng%20&t=1758121871286","false",,,,,,,,,,,"false",,"18","https://www.tiktok.com/@thandoccuoc/video/7439872708499754247?q=thi%C3%AAn%20ch%C3%BAa%20ph%E1%BA%A3n%20%C4%91%E1%BB%99ng%20&t=1758121871286","Chuẩn luôn cụ nói quá đúng","6640427431855865857","31276301201","https://www.tiktok.com/@thandoccuoc/video/7439872708499754247"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/e389cd1cb7d7a0e3d8a389e6b5a5647c~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=9741388b&x-expires=1762822800&x-signature=9MjeaOui2l8%2FqoQhWGk3%2BIAOMos%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7441124370045862672","1732521789","2024-11-25T08:03:09.000Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"31","https://www.tiktok.com/@thandoccuoc/video/7439872708499754247?q=thi%C3%AAn%20ch%C3%BAa%20ph%E1%BA%A3n%20%C4%91%E1%BB%99ng%20&t=1758121871286","false",,,,,,,,,,,"false",,"5","https://www.tiktok.com/@thandoccuoc/video/7439872708499754247?q=thi%C3%AAn%20ch%C3%BAa%20ph%E1%BA%A3n%20%C4%91%E1%BB%99ng%20&t=1758121871286","Dòng máu lạc long quân lại đi thờ con vượn lông trắng thích bị ngược đãi??","7051082259063489537","linh.bku24","https://www.tiktok.com/@thandoccuoc/video/7439872708499754247"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/967ae749f2469b2a5b336983eda9b540~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=0a6c086f&x-expires=1762822800&x-signature=cfYKUXpscB%2Fmv4op8r1E5mavB64%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7440494602099065607","1732375154","2024-11-23T15:19:14.000Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27","https://www.tiktok.com/@thandoccuoc/video/7439872708499754247?q=thi%C3%AAn%20ch%C3%BAa%20ph%E1%BA%A3n%20%C4%91%E1%BB%99ng%20&t=1758121871286","false",,,,,,,,,,,"false",,"1","https://www.tiktok.com/@thandoccuoc/video/7439872708499754247?q=thi%C3%AAn%20ch%C3%BAa%20ph%E1%BA%A3n%20%C4%91%E1%BB%99ng%20&t=1758121871286","Đồng quan điểm với ngài","7284851241594864647","lexuanhoang28","https://www.tiktok.com/@thandoccuoc/video/7439872708499754247"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/7332688160138199047~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=deda1334&x-expires=1762822800&x-signature=376YvVDz5YeTkkyjCOdCpJ9FjUQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7440289500167619336","1732327403","2024-11-23T02:03:23.000Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"97","https://www.tiktok.com/@thandoccuoc/video/7439872708499754247?q=thi%C3%AAn%20ch%C3%BAa%20ph%E1%BA%A3n%20%C4%91%E1%BB%99ng%20&t=1758121871286","false",,,,,,,,,,,"false",,"0","https://www.tiktok.com/@thandoccuoc/video/7439872708499754247?q=thi%C3%AAn%20ch%C3%BAa%20ph%E1%BA%A3n%20%C4%91%E1%BB%99ng%20&t=1758121871286","thờ cha thờ mẹ luôn xem xếp đầu .","6638981444416159745","lychihai2509","https://www.tiktok.com/@thandoccuoc/video/7439872708499754247"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/3fc29e0ae9ee0558a52df36034efa9e7~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=7fde2021&x-expires=1762822800&x-signature=oKgQSATZr%2BAdE5QZXGl0%2BaHYWuc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7440376137173189384","1732347570","2024-11-23T07:39:30.000Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"109","https://www.tiktok.com/@thandoccuoc/video/7439872708499754247?q=thi%C3%AAn%20ch%C3%BAa%20ph%E1%BA%A3n%20%C4%91%E1%BB%99ng%20&t=1758121871286","true",,,,,,,,,,,"false",,"55","https://www.tiktok.com/@thandoccuoc/video/7439872708499754247?q=thi%C3%AAn%20ch%C3%BAa%20ph%E1%BA%A3n%20%C4%91%E1%BB%99ng%20&t=1758121871286","đúng thật bạn tôi đạo thiên chúa đợt về chơi lễ tôi hỏi "" sao nhà bà ko có bàn thờ gia tiên"" nó bảo gia tiên là gì không có thờ không thắp nhang chỉ có lễ thì ra mộ thắp nhang thôi","6704965117992125442","votramanh_0712","https://www.tiktok.com/@thandoccuoc/video/7439872708499754247"
"https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/ab5bf839129c92e2b8d9045f3f2ce08d~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=6dbe1951&x-expires=1762822800&x-signature=lxe9QGA9UpNASk9xncI8HgmfJZQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7462602272779059975","1737522508","2025-01-22T05:08:28.000Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4","https://www.tiktok.com/@thandoccuoc/video/7439872708499754247?q=thi%C3%AAn%20ch%C3%BAa%20ph%E1%BA%A3n%20%C4%91%E1%BB%99ng%20&t=1758121871286","false",,,,,,,,,,,"false",,"3","https://www.tiktok.com/@thandoccuoc/video/7439872708499754247?q=thi%C3%AAn%20ch%C3%BAa%20ph%E1%BA%A3n%20%C4%91%E1%BB%99ng%20&t=1758121871286","Những vị thần nước ta là những người đã xả thân bảo vệ đất nước thì chúng ta k thờ","7388021774803878917","ngocthanhkindergarden","https://www.tiktok.com/@thandoccuoc/video/7439872708499754247"
