author,text,likeCount,publishedAt,video_id
@ThanhLongVlog_News,Một lương dân chửi Linh Mục thậm tệ : https://www.youtube.com/watch?v=JTNcGcD7NvY&t=2s,6,2021-11-11T04:26:22Z,Cfb0Q-XEzec
@narutouzumuki2217,Pppppppppppp,0,2023-02-16T08:30:43Z,Cfb0Q-XEzec
@trieuthanh4379,Thầy tu kiểu đó đó hả,0,2025-07-08T03:36:59Z,Cfb0Q-XEzec
@trieuthanh4379,Này thầy đừng có xúc phạm đạo công giáo thầy lo tu đi đạo   ai người đó tính ngưỡng thầy đừng xúc phạm chúa thầy làm vậy có đúng không,0,2025-07-08T03:35:33Z,Cfb0Q-XEzec
@ThanhPhươngNguyễn-m4t,Vietnam mac dit vao mat thay chua ...Vietnam mac dit Vietnam mac dit,1,2025-03-30T06:31:24Z,Cfb0Q-XEzec
@hoa6331,Ko ai dạy ông vậy ông đi tu làm gì.,0,2025-01-31T15:37:27Z,Cfb0Q-XEzec
@HuongPhan-ut4bh,Đây là lí do tôi bỏ phật từ lớp 3 r theo phật mà các sư thầy xúc Phạm Thiên Chúa 😢😢😢😢😢😢😢,0,2024-12-09T12:18:17Z,Cfb0Q-XEzec
@NguyetThi-cc3sp,Anh em ơi.đao nào cũng tốt,0,2024-11-21T09:22:11Z,Cfb0Q-XEzec
@KhaPhan-pl5fn,Amen 🙏🍀,1,2024-11-09T03:35:34Z,Cfb0Q-XEzec
@letrungkhen234,Đúng là Xàm Tăng,0,2024-10-11T14:44:27Z,Cfb0Q-XEzec
@phanpham2080,ĐỨC TIN CỦA CON ĐÃ  CHỮA CON,0,2024-09-26T17:03:16Z,Cfb0Q-XEzec
@phanpham2080,"Giáo hội phật Giáo  để làm gì vậy mà ko qua trường lớp gì  mà vẫn lên thầy chùa, trình độ của các thầy chùa chỉ như cơn ruồi giấm thôi, mà tại sao các Phật tử vẫn nghe mà nghe xong rồi về  nhà  nhà nào cũng lát hết gia đình cơn cháu, Như VẬY THÌ TU TẠI GIA ĐI THÌ  TRONG CON NGƯỜI MỚI CÓ TÂM",0,2024-09-26T17:00:17Z,Cfb0Q-XEzec
@nguyendihung,"Đây là một điển hình cho sự "" cạn giáo lý"" nên phải nói đến tôn giáo khác .Là ngưởi có trí tuệ thì họ không bao giờ cạn ,Nên tha thứ vì tầm của họ chỉ có bấy nhiêu%",0,2024-09-04T00:10:23Z,Cfb0Q-XEzec
@tunglu1333,"Sao lại có loại xưng là sư là thầy mà ăn nói  vô học , tục tĩu ?, Hồi này các sư đạo Phật  thích nói về Đạo Công giáo quá, lộ nói về Đạo của mình  thì tốt hơn , đi gánh ghét  nói xấu đạo Công giáo , Mọi người sẽ nhận ra ngay  không bằng  người ta sẽ đi nói xấu họ,. Hay là gào lên để có đủ 2 tỷ 400 cho bằng Đạo Thiên Chúa?",0,2024-08-09T16:05:17Z,Cfb0Q-XEzec
@dotu-bc3wx,Ta dao cong giao,0,2024-07-12T16:05:28Z,Cfb0Q-XEzec
@kimnam3514,Xin Chua tha tội cho họ,0,2024-07-12T13:05:58Z,Cfb0Q-XEzec
@ngocle2855,Mang tiếng là nhà sư mà cách ăn nói như là giang hồ vàng vậy đây chính là sư hổ mang,0,2024-07-11T05:13:45Z,Cfb0Q-XEzec
@sinhngoc1213,"Tu hú này sớm bị 
Nghiệp khẩu 
Nghiệp quật 
Nghiệp chướng 
Quả báo 
Nếu muốn kiếp sau được làm người thì hãy học thầy Minh Tuệ và thấy thích pháp Hoà đi để mà làm người",0,2024-07-06T17:14:39Z,Cfb0Q-XEzec
@HungNguyen-ud4df,Đó là những su vo học nên mới vậy,0,2024-07-05T17:50:53Z,Cfb0Q-XEzec
@HungNguyen-ud4df,Đừng quan tâm vì những kẻ súc phạm thiên chúa đều sẽ không có kết quả tốt,0,2024-07-05T17:49:25Z,Cfb0Q-XEzec
@yenpham7346,mấy thích đủ thứ ăn cho lắm rồi rởn mở,0,2024-07-01T03:40:30Z,Cfb0Q-XEzec
@truongluan.6971,"Vậy sao mày không cứu đi, mày nói chúa không có toàn năng, Vậy mày có toàn năng không",0,2024-06-30T12:49:11Z,Cfb0Q-XEzec
@ThuanTran-fk2wj,Thầy nên cẩm cái mõm của thầy lại xác thầy to óc bằng quả nho,0,2024-06-28T10:50:45Z,Cfb0Q-XEzec
@ThanhNguyen-ij4lt,Không biết đây có phải là giáo lý của nhà phát không nếu của nhà phát xin hãy tôn trọng tin ngưỡng cửa người khac,0,2024-06-27T12:48:17Z,Cfb0Q-XEzec
@phudang9153,Nó chửi mình thì mình chửi nó lại. Chửi qua chửi lại để có drama cho thiên hạ coi cho rửa mắt nhé. Đang lót dép ngồi hóng!,0,2024-06-27T05:02:53Z,Cfb0Q-XEzec
@tayang5502,"THÍCH THIEN XUÂN, XÚC PHẠM CHÚA GIÊSU BÂY GIƠ MÀY GỞ CLIP NHANH TRANG MẠNG XÃ HỘI KHÔNG LÀ MÀY LIỆU MÀY RA",0,2024-06-26T00:44:44Z,Cfb0Q-XEzec
@AngelTue89,"Người ta qua đời mà ổng còn lấy ra bỡn cợt trêu đùa thì tu gì trời, tu hú thì có ! Nữa ổng qua đời sẽ có người cười lại ổng cho coi !",0,2024-06-13T09:49:17Z,Cfb0Q-XEzec
@ThuanNguyen-fq2zl,Dan dau duong xo cho vo hoc thuc ma lam thay a,0,2024-05-24T00:07:05Z,Cfb0Q-XEzec
@vando8205,Chúa từ khi ra đời đến nay diết ca mấy trăm triệu người Phật giáo từ bi chưa bao giờ đó một giọt máu nào chúa rất ác độc nham hiểm lừa gạt xáo trá lưu manh thẩm độc da tạo,0,2024-05-23T03:16:08Z,Cfb0Q-XEzec
